"surveywave","state_id","school_id","treatment","n_school_wt","strata","fpc_school","class_srno","B01","B02","B03","B04","B05","B06","B07","B08","B09","D01","D02","D03","D04","D05","D06","D07","D08","D09"
2,1,80,1,1.01434421539307,141,0.333333343267441,3,2,,,,,,,,,2,,,,,,,,
2,1,80,1,1.01434421539307,141,0.333333343267441,4,2,,,,,,,,,2,,,,,,,,
2,1,80,1,1.01434421539307,141,0.333333343267441,5,2,,,,,,,,,2,,,,,,,,
2,1,80,1,1.01434421539307,141,0.333333343267441,6,2,,,,,,,,,2,,,,,,,,
2,1,86,0,0.929815590381622,140,0.363636374473572,1,2,,,,,,,,,2,,,,,,,,
2,1,86,0,0.929815590381622,140,0.363636374473572,2,2,,,,,,,,,2,,,,,,,,
2,1,86,0,0.929815590381622,140,0.363636374473572,3,2,,,,,,,,,1,,,,,,,,
2,1,86,0,0.929815590381622,140,0.363636374473572,4,2,,,,,,,,,1,,,,,,,,
2,1,86,0,0.929815590381622,140,0.363636374473572,5,2,,,,,,,,,2,,,,,,,,
2,1,86,0,0.929815590381622,140,0.363636374473572,6,2,,,,,,,,,1,,,,,,,,
2,1,88,0,0.929815590381622,140,0.363636374473572,1,4,,,,,,,,,2,,,,,,,,
2,1,88,0,0.929815590381622,140,0.363636374473572,2,2,,,,,,,,,2,,,,,,,,
2,1,88,0,0.929815590381622,140,0.363636374473572,3,4,,,,,,,,,1,,,,,,,,
2,1,88,0,0.929815590381622,140,0.363636374473572,4,4,,,,,,,,,1,,,,,,,,
2,1,88,0,0.929815590381622,140,0.363636374473572,5,4,,,,,,,,,1,,,,,,,,
2,1,88,0,0.929815590381622,140,0.363636374473572,6,4,,,,,,,,,1,,,,,,,,
2,1,94,0,0.929815590381622,140,0.363636374473572,1,2,,,,,,,,,4,,,,,,,,
2,1,94,0,0.929815590381622,140,0.363636374473572,2,4,,,,,,,,,2,,,,,,,,
2,1,94,0,0.929815590381622,140,0.363636374473572,3,2,,,,,,,,,1,,,,,,,,
2,1,94,0,0.929815590381622,140,0.363636374473572,4,2,,,,,,,,,2,,,,,,,,
2,1,94,0,0.929815590381622,140,0.363636374473572,5,2,,,,,,,,,1,,,,,,,,
2,1,94,0,0.929815590381622,140,0.363636374473572,6,2,,,,,,,,,4,,,,,,,,
2,1,96,0,0.929815590381622,140,0.363636374473572,1,2,,,,,,,,,2,,,,,,,,
2,1,96,0,0.929815590381622,140,0.363636374473572,2,2,,,,,,,,,1,,,,,,,,
2,1,96,0,0.929815590381622,140,0.363636374473572,3,2,,,,,,,,,1,,,,,,,,
2,1,96,0,0.929815590381622,140,0.363636374473572,4,2,,,,,,,,,2,,,,,,,,
2,1,96,0,0.929815590381622,140,0.363636374473572,5,2,,,,,,,,,1,,,,,,,,
2,1,96,0,0.929815590381622,140,0.363636374473572,6,2,,,,,,,,,2,,,,,,,,
2,1,100,1,1.01434421539307,151,0.333333343267441,1,1,,,,,,,,,2,,,,,,,,
2,1,100,1,1.01434421539307,151,0.333333343267441,2,2,,,,,,,,,2,,,,,,,,
2,1,100,1,1.01434421539307,151,0.333333343267441,3,1,,,,,,,,,1,,,,,,,,
2,1,100,1,1.01434421539307,151,0.333333343267441,4,2,,,,,,,,,2,,,,,,,,
2,1,100,1,1.01434421539307,151,0.333333343267441,5,2,,,,,,,,,2,,,,,,,,
2,1,100,1,1.01434421539307,151,0.333333343267441,6,2,,,,,,,,,2,,,,,,,,
2,1,101,1,1.01434421539307,151,0.333333343267441,1,2,2,,,,,,,,2,4,,,,,,,
2,1,101,1,1.01434421539307,151,0.333333343267441,2,2,2,,,,,,,,4,4,,,,,,,
2,1,101,1,1.01434421539307,151,0.333333343267441,3,1,1,,,,,,,,4,4,,,,,,,
2,1,101,1,1.01434421539307,151,0.333333343267441,4,2,2,,,,,,,,2,2,,,,,,,
2,1,101,1,1.01434421539307,151,0.333333343267441,5,1,1,,,,,,,,2,2,,,,,,,
2,1,101,1,1.01434421539307,151,0.333333343267441,6,1,1,,,,,,,,2,2,,,,,,,
2,1,105,1,1.01434421539307,151,0.333333343267441,1,1,,,,,,,,,4,,,,,,,,
2,1,105,1,1.01434421539307,151,0.333333343267441,2,4,,,,,,,,,4,,,,,,,,
2,1,105,1,1.01434421539307,151,0.333333343267441,3,4,,,,,,,,,1,,,,,,,,
2,1,105,1,1.01434421539307,151,0.333333343267441,4,1,,,,,,,,,4,,,,,,,,
2,1,105,1,1.01434421539307,151,0.333333343267441,5,4,4,,,,,,,,4,1,,,,,,,
2,1,105,1,1.01434421539307,151,0.333333343267441,6,1,,,,,,,,,1,,,,,,,,
2,1,107,1,1.01434421539307,151,0.333333343267441,1,4,,,,,,,,,1,,,,,,,,
2,1,107,1,1.01434421539307,151,0.333333343267441,2,1,,,,,,,,,2,,,,,,,,
2,1,107,1,1.01434421539307,151,0.333333343267441,3,4,,,,,,,,,2,,,,,,,,
2,1,107,1,1.01434421539307,151,0.333333343267441,4,2,,,,,,,,,1,,,,,,,,
2,1,107,1,1.01434421539307,151,0.333333343267441,5,2,,,,,,,,,1,,,,,,,,
2,1,107,1,1.01434421539307,151,0.333333343267441,6,2,,,,,,,,,1,,,,,,,,
2,1,112,0,1.01434421539307,150,0.333333343267441,1,1,,,,,,,,,1,,,,,,,,
2,1,112,0,1.01434421539307,150,0.333333343267441,2,2,,,,,,,,,1,,,,,,,,
2,1,112,0,1.01434421539307,150,0.333333343267441,3,2,,,,,,,,,2,,,,,,,,
2,1,112,0,1.01434421539307,150,0.333333343267441,4,1,,,,,,,,,2,,,,,,,,
2,1,112,0,1.01434421539307,150,0.333333343267441,5,1,,,,,,,,,1,,,,,,,,
2,1,112,0,1.01434421539307,150,0.333333343267441,6,1,,,,,,,,,1,,,,,,,,
2,1,114,0,1.01434421539307,150,0.333333343267441,1,4,,,,,,,,,1,,,,,,,,
2,1,114,0,1.01434421539307,150,0.333333343267441,2,4,,,,,,,,,1,,,,,,,,
2,1,114,0,1.01434421539307,150,0.333333343267441,3,4,,,,,,,,,2,,,,,,,,
2,1,114,0,1.01434421539307,150,0.333333343267441,4,4,,,,,,,,,2,,,,,,,,
2,1,114,0,1.01434421539307,150,0.333333343267441,5,4,,,,,,,,,2,,,,,,,,
2,1,114,0,1.01434421539307,150,0.333333343267441,6,4,,,,,,,,,1,,,,,,,,
2,1,119,0,1.01434421539307,150,0.333333343267441,1,2,,,,,,,,,1,,,,,,,,
2,1,119,0,1.01434421539307,150,0.333333343267441,2,2,,,,,,,,,1,,,,,,,,
2,1,119,0,1.01434421539307,150,0.333333343267441,3,1,,,,,,,,,2,,,,,,,,
2,1,119,0,1.01434421539307,150,0.333333343267441,4,1,,,,,,,,,1,,,,,,,,
2,1,119,0,1.01434421539307,150,0.333333343267441,5,1,,,,,,,,,2,,,,,,,,
2,1,119,0,1.01434421539307,150,0.333333343267441,6,2,,,,,,,,,1,,,,,,,,
2,1,120,0,1.01434421539307,150,0.333333343267441,1,1,2,,,,,,,,2,1,,,,,,,
2,1,120,0,1.01434421539307,150,0.333333343267441,2,2,1,,,,,,,,1,2,,,,,,,
2,1,120,0,1.01434421539307,150,0.333333343267441,3,1,1,,,,,,,,1,1,,,,,,,
2,1,120,0,1.01434421539307,150,0.333333343267441,4,2,2,,,,,,,,1,1,,,,,,,
2,1,120,0,1.01434421539307,150,0.333333343267441,5,2,1,,,,,,,,2,2,,,,,,,
2,1,120,0,1.01434421539307,150,0.333333343267441,6,1,1,,,,,,,,2,1,,,,,,,
2,1,126,1,1.01434421539307,161,0.333333343267441,1,2,,,,,,,,,1,,,,,,,,
2,1,126,1,1.01434421539307,161,0.333333343267441,2,2,,,,,,,,,1,,,,,,,,
2,1,126,1,1.01434421539307,161,0.333333343267441,3,2,,,,,,,,,2,,,,,,,,
2,1,126,1,1.01434421539307,161,0.333333343267441,4,2,,,,,,,,,1,,,,,,,,
2,1,126,1,1.01434421539307,161,0.333333343267441,5,1,,,,,,,,,1,,,,,,,,
2,1,126,1,1.01434421539307,161,0.333333343267441,6,,,,,,,,,,,,,,,,,,
2,1,127,1,1.01434421539307,161,0.333333343267441,1,2,2,,,,,,,,2,2,,,,,,,
2,1,127,1,1.01434421539307,161,0.333333343267441,2,2,,,,,,,,,4,,,,,,,,
2,1,127,1,1.01434421539307,161,0.333333343267441,3,2,,,,,,,,,2,,,,,,,,
2,1,127,1,1.01434421539307,161,0.333333343267441,4,2,,,,,,,,,2,,,,,,,,
2,1,127,1,1.01434421539307,161,0.333333343267441,5,1,,,,,,,,,2,,,,,,,,
2,1,127,1,1.01434421539307,161,0.333333343267441,6,2,2,,,,,,,,2,2,,,,,,,
2,1,128,1,1.01434421539307,161,0.333333343267441,1,2,,,,,,,,,1,,,,,,,,
2,1,128,1,1.01434421539307,161,0.333333343267441,2,2,,,,,,,,,2,,,,,,,,
2,1,128,1,1.01434421539307,161,0.333333343267441,3,2,,,,,,,,,2,,,,,,,,
2,1,128,1,1.01434421539307,161,0.333333343267441,4,2,,,,,,,,,1,,,,,,,,
