"surveywave","state_id","school_id","n_pup_id","pupil_id","treatment","n_panel_pup_wt","strata","fpc_school","fpc_pupil","n_panel_pup","outcome_pt","n_att_reason_pt","consent","able_to_hear","able_to_speak","Sex","Grade","Age","language","language_other","able_to_see","able_to_write","E1_EXAMPLE","E1A","E1B","E1C","E1D","E2_EXAMPLE","E2A","E2B","E2C","E2D","E13_START","E13A","E17_START","E17A","E17B","E17C","M15A","M16_START","M16A","M16B","M17_START","M17A","S7_START","S7A","S8A","S10_START","S10A","S10B","S10C","S10D","S17_a","S17_b","S17_c","S17_d","S17_e","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B11_other","B12","B13_a","B13_b","B13_c","B13_d","B13_e","B13_w","B13_y","B14A","B14B","B14C","B14D","B14E","B15","B16","B17","B18","B19","B20","B21A","B21B","B23","B24","B25","B26","B27A","B27B","B30","B31","B31A","B31B","n_E_raw_p","n_E_max_p","n_E_pc_p","n_M_raw_p","n_M_max_p","n_M_pc_p","n_S_raw_p","n_S_max_p","n_S_pc_p","n_E_wpm","n_E_dog","n_M_add_3_digit","n_M_add_3_digit_carry","n_M_three_quarters","n_M_multiply","n_S_magnet"
2,2,578,5781,1,0,0.638643205165863,2110,0.333333343267441,0.173913043478261,1,1,,1,1,1,1,4,12,6,,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,11,10,1,1,3,3,1,1,1,,,2,2,2,1,1,1,2,2,,,20,10,20,15,1,1,,1,1,1,1,1,,1,1,1,1,,,,,12.8000001907349,49,26.1224498748779,8,29,27.5862064361572,37,50,74,4,0,0,0,0,100,100
2,2,578,5782,2,0,0.638643205165863,2110,0.333333343267441,0.173913043478261,1,1,,1,1,1,1,4,10,6,,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,3,3,1,2,2,2,1,2,2,1,2,2,12,6,1,1,2,1,1,1,2,1,,2,1,2,1,1,1,2,2,2,,6,3,10,6,1,1,,1,1,1,2,1,,1,1,1,1,,,,,15.1999998092651,49,31.0204086303711,10,29,34.4827575683594,24,50,48,16,0,100,0,100,0,0
2,2,578,5783,3,0,0.638643205165863,2110,0.333333343267441,0.173913043478261,1,1,,1,1,1,1,4,12,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,1,20,8,1,1,2,1,1,1,2,1,,2,1,2,1,2,1,2,2,2,,1,,8,4,1,1,,1,1,2,1,1,,1,1,1,1,,,,,15,49,30.6122455596924,9,29,31.0344829559326,25,50,50,5,0,0,0,100,0,100
2,2,578,5784,4,0,0.638643205165863,2110,0.333333343267441,0.173913043478261,1,1,,1,1,1,1,4,13,6,,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,,,,1,1,2,2,1,2,1,2,1,1,1,2,1,3,2,2,1,2,2,13,5,1,2,,1,1,1,2,1,,2,1,2,1,1,1,2,2,2,,6,3,10,6,1,1,,2,,2,2,1,,1,1,1,1,,,,,13.3999996185303,49,27.3469371795654,5,29,17.2413787841797,28,50,56,7,0,0,0,100,0,100
2,2,578,5785,5,0,0.638643205165863,2110,0.333333343267441,0.173913043478261,1,1,,1,1,1,1,4,12,6,,1,1,1,3,3,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,3,1,1,2,2,1,1,2,2,2,2,1,9,7,1,1,3,1,1,1,2,1,,2,2,2,1,1,1,2,2,,,1,1,4,5,1,1,,2,,1,2,1,,1,1,1,1,,,,,14.6000003814697,49,29.795919418335,10,29,34.4827575683594,21,50,42,8,100,100,0,100,0,100
2,2,578,5786,6,0,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,578,5787,7,0,0.638643205165863,2110,0.333333343267441,0.173913043478261,1,1,,1,1,1,2,4,10,6,,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,9,5,2,1,3,4,1,2,2,1,,2,2,2,1,2,1,2,2,,,4,,5,2,1,1,,1,1,2,1,1,,1,1,2,1,,,,,27,49,55.1020393371582,25,29,86.2068939208984,39,50,78,0,100,100,100,100,100,100
2,2,578,5788,8,0,0.638643205165863,2110,0.333333343267441,0.173913043478261,1,1,,1,1,1,2,4,12,6,,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,,,,1,1,1,2,1,2,1,1,1,1,2,2,1,3,2,2,2,2,1,7,5,2,1,3,1,1,2,2,1,,2,1,2,1,1,1,2,2,4,,3,2,15,4,1,1,,1,2,2,2,1,,1,1,2,2,,,,,15,49,30.6122455596924,9,29,31.0344829559326,26,50,52,10,0,100,0,100,0,100
2,2,581,5811,1,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,581,5812,2,0,0.602545559406281,2110,0.333333343267441,0.258064516129032,1,1,,1,1,1,2,4,12,6,,1,1,1,2,2,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,3,1,1,2,2,2,3,2,2,2,2,1,19,5,1,2,,1,1,1,2,1,,2,2,2,1,2,1,2,2,,,7,,10,8,1,1,,1,1,2,2,1,,1,1,1,1,,,,,10,49,20.4081630706787,5,29,17.2413787841797,21,50,42,0,0,0,0,100,0,100
2,2,581,5813,3,0,0.602545559406281,2110,0.333333343267441,0.258064516129032,1,1,,1,1,1,2,4,10,6,,1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,,,,1,1,2,2,1,2,1,3,1,1,1,2,2,3,2,2,2,2,1,7,3,1,1,2,1,1,1,2,1,,2,1,2,1,1,1,2,2,2,,3,2,6,4,1,1,,1,1,1,2,1,,1,1,1,1,,,,,14,49,28.5714282989502,6,29,20.6896553039551,25,50,50,0,0,0,0,100,0,100
2,2,581,5814,4,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,581,5815,5,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
