surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Katsina,416,4,Treatment,241,3.666666666666667,.3636363636363637,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,writes on / reads from blackboard,group or pair work,None of the above,Teacher was silent,moves around among students,group or pair work,instructs / presents / dictates,Hausa,None of the above,None of the above,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,,,,,39,D,BC,,,d,1,No,1,1,27,14.81481552124023
Round 1 Baseline,Katsina,422,2,Control,240,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,uses textbook,None of the above,closed question / response,Hausa,None of the above,respond to closed question,chants,Hausa,uses textbook,individual work,open question / response,Hausa,None of the above,respond to open question,None of the above,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,Yes,50,,ABC,,,c,3,No,9,5,36,33.33333206176758
Round 1 Baseline,Katsina,422,3,Control,240,3.666666666666667,.3636363636363637,Explains,Hausa,uses materials (printed/improvised),None of the above,closed question / response,Hausa,None of the above,respond to closed question,chants,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,None of the above,None of the above,chants,English,writes on / reads from blackboard,individual work,chants,English,None of the above,individual work,open question / response,Hausa,None of the above,respond to open question,None of the above,Teacher was silent,moves around among students,individual work,Yes,33,,ABC,,,e,3,No,3,,36,16.66666603088379
Round 1 Baseline,Katsina,422,4,Control,240,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,instructs / presents / dictates,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,,,,,,,,,,,,,,,,,,38,D,BC,,,a,1,No,1,1,24,0
Round 1 Baseline,Katsina,424,1,Control,240,2.75,.3636363636363637,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,84,AC,BC,,,c,3,No,4,,18,13.88888835906982
Round 1 Baseline,Katsina,424,2,Control,240,2.75,.3636363636363637,closed question / response,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,English,demonstrates / displays work,None of the above,chants,English,moves around among students,None of the above,chants,English,moves around among students,None of the above,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,,,,,,,,,,,,,,67,AC,BCE,,,c,2,No,9,2,27,22.22222137451172
Round 1 Baseline,Katsina,424,3,Control,240,2.75,.3636363636363637,Explains,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,demonstrates / displays work,None of the above,chants,English,demonstrates / displays work,None of the above,chants,English,demonstrates / displays work,None of the above,None of the above,Teacher was silent,moves around among students,individual work,assists / group discussion,English,moves around among students,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,54,AC,BCE,,,a,1,No,16,,18,33.33333206176758
Round 1 Baseline,Katsina,424,4,Control,240,2.75,.3636363636363637,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,uses textbook,None of the above,closed question / response,English,uses textbook,None of the above,Explains,English,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,Yes,94,,ABCE,,,c,1,No,9,8,36,29.16666603088379
Round 1 Baseline,Katsina,427,2,Control,240,2.75,.3636363636363637,chants,English,writes on / reads from blackboard,individual work,chants,English,None of the above,individual work,None of the above,Teacher was silent,moves around among students,None of the above,None of the above,Hausa,moves around among students,individual work,chants,Hausa,moves around among students,individual work,chants,Hausa,moves around among students,individual work,instructs / presents / dictates,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,uses materials (printed/improvised),respond to closed question,Explains,Hausa,demonstrates / displays work,individual work,instructs / presents / dictates,Hausa,None of the above,individual work,chants,Hausa,moves around among students,individual work,Yes,113,,BCF,,,a,2,No,18,,36,15.27777767181397
Round 1 Baseline,Katsina,427,3,Control,240,2.75,.3636363636363637,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,moves around among students,respond to closed question,instructs / presents / dictates,Hausa,demonstrates / displays work,individual work,None of the above,Teacher was silent,None of the above,respond to closed question,Explains,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,moves around among students,individual work,,,,,,52,D,BC,,,c,3,No,9,4,33,25.75757598876953
Round 1 Baseline,Katsina,427,4,Control,240,2.75,.3636363636363637,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,instructs / presents / dictates,English,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,,,,,,,,,64,A,BC,,,c,1,No,3,1,24,29.16666603088379
Round 1 Baseline,Katsina,432,1,Control,240,2.75,.3636363636363637,Explains,English,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,closed question / response,Hausa,demonstrates / displays work,None of the above,closed question / response,Hausa,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,respond to closed question,Explains,English,demonstrates / displays work,None of the above,open question / response,Hausa,moves around among students,None of the above,closed question / response,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,moves around among students,individual work,,,,,,,,,,52,B,ABC,,,b,2,No,10,3,30,43.33333587646484
