surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Jigawa,228,4,Control,1100,3,.3333333333333333,instructs / presents / dictates,Other,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,moves around among students,respond to closed question,chants,Other,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,moves around among students,respond to closed question,closed question / response,Hausa,moves around among students,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,BC,,,b,4,No,2,3,15,10
Round 1 Baseline,Jigawa,229,2,Treatment,1101,3,.3333333333333333,chants,English,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to open question,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,moves around among students,None of the above,closed question / response,Hausa,demonstrates / displays work,respond to open question,,,,,,,,,,,,,,,,,,101,A,ABC,,,c,2,No,6,,24,27.08333396911621
Round 1 Baseline,Jigawa,229,3,Treatment,1101,3,.3333333333333333,open question / response,Hausa,None of the above,respond to open question,None of the above,Teacher was silent,None of the above,None of the above,open question / response,Hausa,None of the above,respond to open question,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,open question / response,Hausa,None of the above,respond to open question,Explains,Hausa,demonstrates / displays work,None of the above,closed question / response,English,None of the above,respond to closed question,open question / response,Hausa,None of the above,respond to open question,Explains,Hausa,demonstrates / displays work,None of the above,Explains,English,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Yes,78,,ABC,,,e,2,No,23,1,36,44.4444465637207
Round 1 Baseline,Jigawa,229,4,Treatment,1101,3,.3333333333333333,Explains,Hausa,uses textbook,None of the above,Explains,English,uses textbook,None of the above,closed question / response,Hausa,uses textbook,respond to open question,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,Explains,Hausa,uses textbook,None of the above,,,,,,,,,,,,,,,,,,,,,,121,AC,ABC,,,c,4,No,3,,21,28.5714282989502
Round 1 Baseline,Jigawa,232,1,Treatment,1101,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,uses materials (printed/improvised),group or pair work,Explains,Hausa,moves around among students,group or pair work,closed question / response,Hausa,moves around among students,respond to closed question,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,BCF,,,f,2,No,1,1,18,44.4444465637207
Round 1 Baseline,Jigawa,232,2,Treatment,1101,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,D,BC,,,c,1,No,3,,12,29.16666603088379
Round 1 Baseline,Jigawa,232,3,Treatment,1101,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to closed question,open question / response,Hausa,writes on / reads from blackboard,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,D,BC,,,d,3,No,4,,15,33.33333206176758
Round 1 Baseline,Jigawa,232,4,Treatment,1101,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,group discussion / presentation,closed question / response,Hausa,uses textbook,respond to closed question,chants,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,13,D,BC,,,d,1,No,8,,18,11.11111164093018
Round 1 Baseline,Jigawa,233,1,Treatment,1101,3,.3333333333333333,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,group discussion / presentation,None of the above,English,demonstrates / displays work,group discussion / presentation,closed question / response,Hausa,None of the above,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,None of the above,group discussion / presentation,Explains,English,demonstrates / displays work,respond to closed question,closed question / response,English,demonstrates / displays work,respond to closed question,closed question / response,English,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,respond to closed question,Explains,English,moves around among students,respond to closed question,closed question / response,English,demonstrates / displays work,respond to closed question,Yes,22,,ABC,,,e,1,Yes,11,,36,22.22222328186035
Round 1 Baseline,Jigawa,233,2,Treatment,1101,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,moves around among students,respond to closed question,closed question / response,Hausa,None of the above,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,assists / group discussion,Hausa,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,,73,AB,BCE,,,b,2,No,5,8,21,7.142857074737549
Round 1 Baseline,Jigawa,233,3,Treatment,1101,3,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,English,moves around among students,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,English,demonstrates / displays work,respond to closed question,closed question / response,Hausa,moves around among students,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,group or pair work,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Yes,22,,BCE,,,c,1,No,23,11,36,16.66666603088379
Round 1 Baseline,Jigawa,233,4,Treatment,1101,3,.3333333333333333,closed question / response,Hausa,demonstrates / displays work,respond to closed question,Explains,Hausa,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,closed question / response,English,writes on / reads from blackboard,respond to closed question,Explains,Hausa,demonstrates / displays work,respond to closed question,closed question / response,Hausa,moves around among students,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,16,A,ABC,,,f,2,No,10,2,18,36.11111068725586
Round 1 Baseline,Jigawa,239,1,Treatment,1101,3,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,assists / group discussion,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,12,D,ABC,,,f,2,No,14,1,24,4.166666984558106
Round 1 Baseline,Jigawa,239,2,Treatment,1101,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,chants,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to open question,Explains,English,writes on / reads from blackboard,respond to closed question,assists / group discussion,English,writes on / reads from blackboard,individual work,Yes,11,,BC,,,e,3,Yes,4,,36,16.66666603088379
Round 1 Baseline,Jigawa,239,3,Treatment,1101,3,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,uses textbook,None of the above,closed question / response,Hausa,uses textbook,respond to closed question,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,uses textbook,respond to closed question,None of the above,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,None of the above,None of the above,assists / group discussion,Hausa,uses textbook,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,uses materials (printed/improvised),respond to closed question,Explains,Hausa,demonstrates / displays work,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Yes,26,,ABCE,,,b,2,No,13,1,36,23.61111068725586
Round 1 Baseline,Jigawa,239,4,Treatment,1101,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,Yes,20,,BC,,,b,4,No,10,,36,11.11111164093018
Round 1 Baseline,Jigawa,242,1,Treatment,1111,4,.3333333333333333,instructs / presents / dictates,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,closed question / response,Hausa,uses materials (printed/improvised),individual work,None of the above,Teacher was silent,None of the above,individual work,instructs / presents / dictates,English,uses materials (printed/improvised),individual work,Explains,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,individual work,assists / group discussion,English,moves around among students,group or pair work,,,,,,,,,,,,,,42,D,BCE,,,a,2,No,3,3,27,22.22222137451172
Round 1 Baseline,Jigawa,242,3,Treatment,1111,4,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,demonstrates / displays work,respond to open question,Explains,English,uses materials (printed/improvised),respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to open question,Explains,English,demonstrates / displays work,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,uses textbook,respond to open question,Explains,Hausa,writes on / reads from blackboard,respond to open question,instructs / presents / dictates,Hausa,None of the above,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,moves around among students,individual work,instructs / presents / dictates,English,demonstrates / displays work,individual work,Yes,11,,ABCF,,,c,3,No,,,36,43.0555534362793
Round 1 Baseline,Jigawa,242,4,Treatment,1111,4,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,moves around among students,individual work,instructs / presents / dictates,Hausa,uses materials (printed/improvised),individual work,Explains,Hausa,uses materials (printed/improvised),individual work,instructs / presents / dictates,Hausa,uses materials (printed/improvised),individual work,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,individual work,None of the above,Hausa,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,,41,A,AC,,,ab,4,No,7,3,21,19.0476188659668
Round 1 Baseline,Jigawa,245,1,Treatment,1111,4,.3333333333333333,Explains,Hausa,moves around among students,respond to closed question,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,moves around among students,group or pair work,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,English,None of the above,None of the above,Explains,Hausa,uses textbook,respond to closed question,Explains,Hausa,moves around among students,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Yes,12,,ABC,,,e,4,No,11,,36,34.72222137451172
Round 1 Baseline,Jigawa,245,2,Treatment,1111,4,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,None of the above,English,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,English,None of the above,respond to closed question,None of the above,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,,,,,,,,,,,,,,,,,,5,D,BCE,,,c,1,No,1,,24,16.66666793823242
Round 1 Baseline,Jigawa,245,4,Treatment,1111,4,.3333333333333333,Explains,English,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,closed question / response,Hausa,None of the above,group discussion / presentation,None of the above,Hausa,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,English,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,11,C,ABC,,,f,3,No,7,,21,7.142857074737549
Round 1 Baseline,Jigawa,248,2,Treatment,1111,4,.3333333333333333,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,None of the above,Teacher was silent,moves around among students,respond to closed question,None of the above,Teacher was silent,moves around among students,respond to closed question,,,,,,,,,,,,,,,,,,,,,,52,D,ABC,,,c,3,No,4,5,21,40.47618865966797
Round 1 Baseline,Jigawa,248,3,Treatment,1111,4,.3333333333333333,instructs / presents / dictates,English,writes on / reads from blackboard,respond to open question,instructs / presents / dictates,English,writes on / reads from blackboard,respond to open question,Explains,Hausa,moves around among students,respond to open question,Explains,English,moves around among students,respond to open question,Explains,English,moves around among students,respond to open question,Explains,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to open question,Explains,English,demonstrates / displays work,respond to open question,Explains,English,moves around among students,respond to open question,open question / response,English,moves around among students,respond to open question,assists / group discussion,Hausa,moves around among students,group or pair work,Explains,English,moves around among students,group or pair work,Yes,58,,BCD,,,c,1,No,10,,36,65.27777862548828
Round 1 Baseline,Jigawa,248,4,Treatment,1111,4,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,respond to open question,Explains,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,writes on / reads from blackboard,respond to open question,open question / response,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,moves around among students,respond to open question,Explains,English,writes on / reads from blackboard,respond to open question,None of the above,Hausa,moves around among students,respond to open question,Explains,English,moves around among students,respond to open question,Yes,48,,BC,,,d,3,No,3,,36,51.38888931274414
Round 1 Baseline,Jigawa,249,2,Treatment,1111,3,.3333333333333333,None of the above,English,moves around among students,None of the above,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,open question / response,English,moves around among students,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,moves around among students,None of the above,instructs / presents / dictates,Hausa,moves around among students,None of the above,instructs / presents / dictates,Hausa,moves around among students,None of the above,,,,,,68,D,BC,,,f,1,No,14,3,33,10.60606002807617
Round 1 Baseline,Jigawa,249,3,Treatment,1111,3,.3333333333333333,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,group or pair work,None of the above,Teacher was silent,None of the above,group or pair work,,,,,,68,D,BC,,,f,2,No,5,1,33,3.030303239822388
Round 1 Baseline,Jigawa,249,4,Treatment,1111,3,.3333333333333333,open question / response,English,moves around among students,respond to open question,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,moves around among students,None of the above,open question / response,Hausa,moves around among students,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,moves around among students,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,,,,,,,75,D,BCF,,,e,3,No,15,6,33,45.45454406738281
Round 1 Baseline,Jigawa,253,1,Control,1110,4,.3333333333333333,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,uses materials (printed/improvised),respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,chants,English,writes on / reads from blackboard,None of the above,,,,,,,,,,21,D,BCD,,,c,1,No,9,1,30,1.666666746139526
Round 1 Baseline,Jigawa,253,3,Control,1110,4,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,moves around among students,individual work,instructs / presents / dictates,Hausa,uses materials (printed/improvised),None of the above,assists / group discussion,Hausa,moves around among students,respond to closed question,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,closed question / response,Hausa,moves around among students,respond to closed question,Explains,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,None of the above,individual work,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,moves around among students,individual work,No,26,D,BCDF,,,c,2,No,40,,36,16.66666603088379
Round 1 Baseline,Jigawa,253,4,Control,1110,4,.3333333333333333,None of the above,Hausa,None of the above,None of the above,None of the above,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,moves around among students,None of the above,None of the above,Hausa,None of the above,None of the above,None of the above,Hausa,None of the above,None of the above,,,,,,,,,,9,D,BC,,,f,1,No,4,2,30,18.33333396911621
Round 1 Baseline,Jigawa,255,1,Control,1110,3,.3333333333333333,instructs / presents / dictates,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,None of the above,Teacher was silent,moves around among students,group or pair work,Explains,Hausa,writes on / reads from blackboard,group or pair work,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,group or pair work,open question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,moves around among students,group or pair work,Explains,Hausa,writes on / reads from blackboard,group or pair work,None of the above,Teacher was silent,None of the above,individual work,Explains,Hausa,None of the above,group or pair work,closed question / response,Hausa,uses materials (printed/improvised),group or pair work,Yes,11,,ABC,,,c,2,No,3,,36,33.33333206176758
Round 1 Baseline,Jigawa,255,2,Control,1110,3,.3333333333333333,open question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,None of the above,respond to closed question,open question / response,Hausa,None of the above,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Teacher was silent,None of the above,respond to open question,Explains,English,None of the above,respond to closed question,closed question / response,Hausa,None of the above,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,moves around among students,respond to closed question,Explains,Hausa,None of the above,respond to closed question,Yes,13,,ABC,,,d,3,No,2,,36,20.83333396911621
Round 1 Baseline,Jigawa,255,3,Control,1110,3,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,individual work,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,group discussion / presentation,Explains,Hausa,None of the above,respond to open question,assists / group discussion,Teacher was silent,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,22,C,ABC,,,b,4,No,31,,18,19.44444465637207
Round 1 Baseline,Jigawa,255,4,Control,1110,3,.3333333333333333,Explains,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,None of the above,respond to closed question,closed question / response,Hausa,uses materials (printed/improvised),respond to closed question,Explains,Hausa,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,individual work,open question / response,Hausa,moves around among students,individual work,closed question / response,Hausa,None of the above,individual work,None of the above,Teacher was silent,None of the above,None of the above,,,,,,,,,,3,A,ABC,,,f,4,No,,,30,23.33333206176758
Round 1 Baseline,Jigawa,257,1,Control,1110,3,.3333333333333333,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,moves around among students,group discussion / presentation,Explains,Hausa,demonstrates / displays work,group discussion / presentation,Explains,Hausa,demonstrates / displays work,group discussion / presentation,closed question / response,Hausa,uses materials (printed/improvised),respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,,,,,,,,,,,,,,5,AB,ABCF,,,c,2,No,3,,27,40.74074172973633
Round 1 Baseline,Jigawa,257,2,Control,1110,3,.3333333333333333,None of the above,Teacher was silent,uses materials (printed/improvised),group or pair work,None of the above,Teacher was silent,uses materials (printed/improvised),individual work,None of the above,Teacher was silent,moves around among students,group discussion / presentation,Explains,Hausa,demonstrates / displays work,individual work,None of the above,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,uses materials (printed/improvised),None of the above,instructs / presents / dictates,Hausa,moves around among students,individual work,Yes,5,,BCEG,,,c,1,Yes,17,1,36,25
Round 1 Baseline,Jigawa,257,3,Control,1110,3,.3333333333333333,Explains,Hausa,None of the above,None of the above,instructs / presents / dictates,English,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,open question / response,English,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,closed question / response,Hausa,uses textbook,respond to closed question,None of the above,Teacher was silent,uses textbook,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Yes,10,,ABCE,,,e,1,No,,,36,27.77777671813965
Round 1 Baseline,Jigawa,257,4,Control,1110,3,.3333333333333333,chants,English,moves around among students,None of the above,closed question / response,Hausa,uses materials (printed/improvised),respond to closed question,closed question / response,Hausa,uses materials (printed/improvised),individual work,Explains,Hausa,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,moves around among students,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,A,BCE,,,c,4,No,17,,15,20
Round 1 Baseline,Jigawa,263,1,Control,1110,3,.3333333333333333,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,individual work,Explains,Hausa,writes on / reads from blackboard,individual work,closed question / response,English,demonstrates / displays work,individual work,closed question / response,Hausa,demonstrates / displays work,individual work,Explains,Hausa,demonstrates / displays work,individual work,chants,English,writes on / reads from blackboard,individual work,closed question / response,English,demonstrates / displays work,individual work,chants,English,uses materials (printed/improvised),individual work,None of the above,Teacher was silent,None of the above,individual work,assists / group discussion,Hausa,moves around among students,individual work,,,,,,32,AC,ABC,,,d,1,No,,,33,27.27272796630859
Round 1 Baseline,Jigawa,263,2,Control,1110,3,.3333333333333333,Explains,Hausa,None of the above,individual work,Explains,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,uses materials (printed/improvised),individual work,Explains,Hausa,uses materials (printed/improvised),individual work,Explains,Hausa,uses materials (printed/improvised),individual work,Explains,Hausa,moves around among students,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,39,A,ABCDF,,,b,2,No,4,,18,44.4444465637207
Round 1 Baseline,Jigawa,263,3,Control,1110,3,.3333333333333333,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,English,uses materials (printed/improvised),individual work,instructs / presents / dictates,Hausa,moves around among students,group or pair work,Explains,Hausa,moves around among students,group or pair work,assists / group discussion,Teacher was silent,moves around among students,group or pair work,assists / group discussion,Hausa,demonstrates / displays work,group or pair work,assists / group discussion,Hausa,demonstrates / displays work,group or pair work,chants,English,writes on / reads from blackboard,individual work,None of the above,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,No,47,C,ABCFJ,,,c,1,No,7,,36,30.55555534362793
Round 1 Baseline,Jigawa,263,4,Control,1110,3,.3333333333333333,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,20,A,ABC,,,f,2,No,,,18,5.555555820465088
