"surveywave","state_id","school_id","n_teacher_id","teacher_srno","treatment","n_school_wt","strata","fpc_school","A05","A07","A09","A10","n_eligible_teacher","B01","B02","B03","B04","B06","B08","B10","B12","B14","B16"
2,1,25,2507,7,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1977,2,1,2014,2,1,2,2,2,1
2,1,25,2508,8,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1977,2,1,2015,2,1,2,2,2,1
2,1,25,2509,9,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1985,2,1,2015,2,1,2,2,2,1
2,1,25,2510,10,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1986,1,1,2015,2,1,2,2,2,1
2,1,25,2511,11,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1973,1,2,2002,2,1,2,2,2,1
2,1,25,2512,12,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1969,1,2,1990,2,1,2,2,2,1
2,1,25,2513,13,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1987,1,2,2011,2,1,2,2,2,1
2,1,25,2514,14,1,1.01434421539307,121,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,25,2515,15,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1970,1,2,2015,2,1,2,2,2,1
2,1,25,2516,16,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1975,2,2,2002,1,1,2,2,2,1
2,1,25,2517,17,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1990,2,2,2011,2,1,2,2,2,1
2,1,25,2518,18,1,1.01434421539307,121,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,25,2519,19,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1976,2,2,2015,1,1,2,2,2,1
2,1,25,2520,20,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1974,1,2,2016,2,1,2,2,2,2
2,1,25,2521,21,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1981,1,2,2016,2,1,2,2,2,1
2,1,25,2522,22,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1980,2,2,2016,2,1,2,2,1,1
2,1,25,2523,23,1,1.01434421539307,121,0.333333343267441,2,2,2,1,2,,,,,,,,,,
2,1,25,2524,24,1,1.01434421539307,121,0.333333343267441,2,2,2,1,2,,,,,,,,,,
2,1,25,2525,25,1,1.01434421539307,121,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,25,2526,26,1,1.01434421539307,121,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,25,2527,27,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1983,1,1,2016,2,1,2,2,2,1
2,1,25,2528,28,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1985,1,1,2015,2,2,2,2,2,2
2,1,25,2529,29,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1985,1,2,2016,2,2,2,2,2,2
2,1,26,2601,1,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1985,1,1,2012,1,1,1,2,1,1
2,1,26,2602,2,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1982,1,1,2009,1,1,1,2,2,2
2,1,26,2603,3,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1987,1,1,2008,1,1,1,2,2,2
2,1,26,2604,4,1,1.01434421539307,121,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,26,2605,5,1,1.01434421539307,121,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,26,2606,6,1,1.01434421539307,121,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,26,2607,7,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1987,1,1,2006,2,2,2,2,2,2
2,1,26,2608,8,1,1.01434421539307,121,0.333333343267441,2,2,1,,2,,,,,,,,,,
2,1,26,2609,9,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1976,1,2,2006,2,1,2,2,2,2
2,1,26,2610,10,1,1.01434421539307,121,0.333333343267441,2,2,1,,2,,,,,,,,,,
2,1,26,2611,11,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1969,1,2,2011,2,2,2,2,2,2
2,1,26,2612,12,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1981,1,2,2012,2,1,2,2,2,2
2,1,26,2613,13,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1977,1,2,2011,1,1,1,2,2,2
2,1,26,2614,14,1,1.01434421539307,121,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,26,2615,15,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1977,2,2,2009,2,1,2,2,2,1
2,1,26,2616,16,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1987,2,2,2006,2,2,2,2,2,2
2,1,26,2617,17,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1989,1,2,2016,2,2,2,2,2,2
2,1,26,2618,18,1,1.01434421539307,121,0.333333343267441,2,2,2,1,2,,,,,,,,,,
2,1,26,2619,19,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,-8,2,2,2017,2,2,2,2,2,2
2,1,26,2620,20,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,-8,2,2,2017,2,2,2,2,2,2
